Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
174,6,22,87,9/6/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,6,Win,Lose,21,90,090-099,2,7,Points Lose,YES,Lose
175,6,22,88,9/6/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,30,104,100-109,2,9,Points Win,NO,Win
176,6,22,88,9/6/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,21,90,090-099,2,7,Points Lose,NO,Lose
177,6,23,89,9/6/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,25,104,100-109,2,9,Points Win,NO,Win
178,6,23,89,9/6/13,150cc,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Lose,15,90,090-099,2,7,Points Lose,NO,Lose
179,6,23,90,9/6/13,150cc,3 Star Cup,10 Sherbert Land,Mario,9,Win,Win,25,104,100-109,2,9,Points Win,NO,Win
180,6,23,90,9/6/13,150cc,3 Star Cup,10 Sherbert Land,Peter,3,Lose,Lose,15,90,090-099,2,7,Points Lose,NO,Lose
181,6,23,91,9/6/13,150cc,3 Star Cup,11 Royal Raceway,Mario,1,Lose,Win,25,104,100-109,2,9,Points Win,YES,Win
182,6,23,91,9/6/13,150cc,3 Star Cup,11 Royal Raceway,Peter,6,Win,Lose,15,90,090-099,2,7,Points Lose,YES,Lose
183,6,23,92,9/6/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,6,Win,Win,25,104,100-109,2,9,Points Win,YES,Win
184,6,23,92,9/6/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,0,Lose,Lose,15,90,090-099,2,7,Points Lose,YES,Lose
185,6,24,93,9/6/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Lose,24,104,100-109,2,9,Points Win,NO,Win
186,6,24,93,9/6/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,0,Lose,Win,27,90,090-099,2,7,Points Lose,NO,Lose
187,6,24,94,9/6/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,24,104,100-109,2,9,Points Win,NO,Win
188,6,24,94,9/6/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,27,90,090-099,2,7,Points Lose,NO,Lose
189,6,24,95,9/6/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,3,Lose,Lose,24,104,100-109,2,9,Points Win,NO,Win
190,6,24,95,9/6/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,27,90,090-099,2,7,Points Lose,NO,Lose
191,6,24,96,9/6/13,150cc,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Lose,24,104,100-109,2,9,Points Win,NO,Win
192,6,24,96,9/6/13,150cc,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,27,90,090-099,2,7,Points Lose,NO,Lose
193,7,25,97,9/6/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Win,Win,27,99,090-099,2,7,Cup Win,YES,Win
194,7,25,97,9/6/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,3,Lose,Lose,24,100,100-109,1,9,Cup Lose,YES,Lose
195,7,25,98,9/6/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,27,99,090-099,2,7,Cup Win,NO,Win
196,7,25,98,9/6/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,3,Lose,Lose,24,100,100-109,1,9,Cup Lose,NO,Lose
197,7,25,99,9/6/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Win,27,99,090-099,2,7,Cup Win,NO,Win
198,7,25,99,9/6/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Lose,24,100,100-109,1,9,Cup Lose,NO,Lose
199,7,25,100,9/6/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Win,27,99,090-099,2,7,Cup Win,NO,Win
200,7,25,100,9/6/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Lose,24,100,100-109,1,9,Cup Lose,NO,Lose
201,7,26,101,9/6/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,6,Lose,Lose,24,99,090-099,2,7,Cup Win,NO,Win
202,7,26,101,9/6/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,30,100,100-109,1,9,Cup Lose,NO,Lose
203,7,26,102,9/6/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,3,Lose,Lose,24,99,090-099,2,7,Cup Win,NO,Win
204,7,26,102,9/6/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,30,100,100-109,1,9,Cup Lose,NO,Lose
205,7,26,103,9/6/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Lose,24,99,090-099,2,7,Cup Win,NO,Win
206,7,26,103,9/6/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,3,Lose,Win,30,100,100-109,1,9,Cup Lose,NO,Lose
207,7,26,104,9/6/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Lose,24,99,090-099,2,7,Cup Win,NO,Win
208,7,26,104,9/6/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Win,30,100,100-109,1,9,Cup Lose,NO,Lose
209,7,27,105,9/6/13,Extra,3 Star Cup,9 Wario Stadium,Mario,6,Win,Win,18,99,090-099,2,7,Cup Win,YES,Win
210,7,27,105,9/6/13,Extra,3 Star Cup,9 Wario Stadium,Peter,1,Lose,Lose,16,100,100-109,1,9,Cup Lose,YES,Lose
211,7,27,106,9/6/13,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,18,99,090-099,2,7,Cup Win,NO,Win
212,7,27,106,9/6/13,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,16,100,100-109,1,9,Cup Lose,NO,Lose
213,7,27,107,9/6/13,Extra,3 Star Cup,11 Royal Raceway,Mario,6,Win,Win,18,99,090-099,2,7,Cup Win,YES,Win
214,7,27,107,9/6/13,Extra,3 Star Cup,11 Royal Raceway,Peter,0,Lose,Lose,16,100,100-109,1,9,Cup Lose,YES,Lose
215,7,27,108,9/6/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,0,Lose,Win,18,99,090-099,2,7,Cup Win,YES,Win
216,7,27,108,9/6/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Win,Lose,16,100,100-109,1,9,Cup Lose,YES,Lose
217,7,28,109,9/6/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,6,Lose,Tie,30,99,090-099,2,7,Cup Win,NO,Win
218,7,28,109,9/6/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Tie,30,100,100-109,1,9,Cup Lose,NO,Lose
219,7,28,110,9/6/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Tie,30,99,090-099,2,7,Cup Win,NO,Win
220,7,28,110,9/6/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Tie,30,100,100-109,1,9,Cup Lose,NO,Lose
221,7,28,111,9/6/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Tie,30,99,090-099,2,7,Cup Win,NO,Win
222,7,28,111,9/6/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,6,Lose,Tie,30,100,100-109,1,9,Cup Lose,NO,Lose
223,7,28,112,9/6/13,Extra,4 Special Cup,16 Rainbow Road,Mario,9,Win,Tie,30,99,090-099,2,7,Cup Win,NO,Win
224,7,28,112,9/6/13,Extra,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Tie,30,100,100-109,1,9,Cup Lose,NO,Lose
225,8,29,113,9/6/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,22,107,100-109,3,8,Cup Win,NO,Win
226,8,29,113,9/6/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,100,100-109,1,8,Cup Lose,NO,Lose
227,8,29,114,9/6/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,1,Lose,Lose,22,107,100-109,3,8,Cup Win,NO,Win
228,8,29,114,9/6/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,33,100,100-109,1,8,Cup Lose,NO,Lose
229,8,29,115,9/6/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,22,107,100-109,3,8,Cup Win,NO,Win
230,8,29,115,9/6/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,33,100,100-109,1,8,Cup Lose,NO,Lose
231,8,29,116,9/6/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Lose,22,107,100-109,3,8,Cup Win,NO,Win
232,8,29,116,9/6/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Win,33,100,100-109,1,8,Cup Lose,NO,Lose
233,8,30,117,9/6/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,6,Win,Win,27,107,100-109,3,8,Cup Win,YES,Win
234,8,30,117,9/6/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,3,Lose,Lose,22,100,100-109,1,8,Cup Lose,YES,Lose
235,8,30,118,9/6/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Win,27,107,100-109,3,8,Cup Win,NO,Win
236,8,30,118,9/6/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Lose,22,100,100-109,1,8,Cup Lose,NO,Lose
237,8,30,119,9/6/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,27,107,100-109,3,8,Cup Win,NO,Win
238,8,30,119,9/6/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,1,Lose,Lose,22,100,100-109,1,8,Cup Lose,NO,Lose
239,8,30,120,9/6/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Win,27,107,100-109,3,8,Cup Win,NO,Win
240,8,30,120,9/6/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Lose,22,100,100-109,1,8,Cup Lose,NO,Lose
241,8,31,121,9/6/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,25,107,100-109,3,8,Cup Win,NO,Win
242,8,31,121,9/6/13,150cc,3 Star Cup,9 Wario Stadium,Peter,3,Lose,Lose,21,100,100-109,1,8,Cup Lose,NO,Lose
243,8,31,122,9/6/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,25,107,100-109,3,8,Cup Win,NO,Win
244,8,31,122,9/6/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,21,100,100-109,1,8,Cup Lose,NO,Lose
245,8,31,123,9/6/13,150cc,3 Star Cup,11 Royal Raceway,Mario,1,Lose,Win,25,107,100-109,3,8,Cup Win,YES,Win
246,8,31,123,9/6/13,150cc,3 Star Cup,11 Royal Raceway,Peter,3,Win,Lose,21,100,100-109,1,8,Cup Lose,YES,Lose
247,8,31,124,9/6/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,25,107,100-109,3,8,Cup Win,NO,Win
248,8,31,124,9/6/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Lose,21,100,100-109,1,8,Cup Lose,NO,Lose
249,8,32,125,9/6/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,33,107,100-109,3,8,Cup Win,NO,Win
250,8,32,125,9/6/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,24,100,100-109,1,8,Cup Lose,NO,Lose
251,8,32,126,9/6/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,33,107,100-109,3,8,Cup Win,NO,Win
252,8,32,126,9/6/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,24,100,100-109,1,8,Cup Lose,NO,Lose
253,8,32,127,9/6/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,33,107,100-109,3,8,Cup Win,NO,Win
254,8,32,127,9/6/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Lose,24,100,100-109,1,8,Cup Lose,NO,Lose
255,8,32,128,9/6/13,150cc,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Win,33,107,100-109,3,8,Cup Win,NO,Win
256,8,32,128,9/6/13,150cc,4 Special Cup,16 Rainbow Road,Peter,9,Win,Lose,24,100,100-109,1,8,Cup Lose,NO,Lose
257,9,33,129,9/7/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
258,9,33,129,9/7/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
259,9,33,130,9/7/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
260,9,33,130,9/7/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Win,33,112,110-119,3,9,Cup Win,NO,Win
261,9,33,131,9/7/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
262,9,33,131,9/7/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
263,9,33,132,9/7/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,3,Lose,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
264,9,33,132,9/7/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,33,112,110-119,3,9,Cup Win,NO,Win
265,9,34,133,9/7/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,30,99,090-099,1,7,Cup Lose,NO,Lose
266,9,34,133,9/7/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,27,112,110-119,3,9,Cup Win,NO,Win
267,9,34,134,9/7/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Win,30,99,090-099,1,7,Cup Lose,NO,Lose
268,9,34,134,9/7/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Lose,27,112,110-119,3,9,Cup Win,NO,Win
269,9,34,135,9/7/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,30,99,090-099,1,7,Cup Lose,NO,Lose
270,9,34,135,9/7/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Lose,27,112,110-119,3,9,Cup Win,NO,Win
271,9,34,136,9/7/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,3,Lose,Win,30,99,090-099,1,7,Cup Lose,NO,Lose
272,9,34,136,9/7/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Lose,27,112,110-119,3,9,Cup Win,NO,Win
273,9,35,137,9/7/13,Extra,3 Star Cup,9 Wario Stadium,Mario,6,Lose,Lose,21,99,090-099,1,7,Cup Lose,NO,Lose
274,9,35,137,9/7/13,Extra,3 Star Cup,9 Wario Stadium,Peter,9,Win,Win,22,112,110-119,3,9,Cup Win,NO,Win
275,9,35,138,9/7/13,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,21,99,090-099,1,7,Cup Lose,NO,Lose
276,9,35,138,9/7/13,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,22,112,110-119,3,9,Cup Win,NO,Win
277,9,35,139,9/7/13,Extra,3 Star Cup,11 Royal Raceway,Mario,6,Win,Lose,21,99,090-099,1,7,Cup Lose,YES,Lose
278,9,35,139,9/7/13,Extra,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Win,22,112,110-119,3,9,Cup Win,YES,Win
279,9,35,140,9/7/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,3,Win,Lose,21,99,090-099,1,7,Cup Lose,YES,Lose
280,9,35,140,9/7/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,1,Lose,Win,22,112,110-119,3,9,Cup Win,YES,Win
281,9,36,141,9/7/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,3,Lose,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
282,9,36,141,9/7/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,9,Win,Win,30,112,110-119,3,9,Cup Win,NO,Win
283,9,36,142,9/7/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
284,9,36,142,9/7/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,30,112,110-119,3,9,Cup Win,NO,Win
285,9,36,143,9/7/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
286,9,36,143,9/7/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Win,30,112,110-119,3,9,Cup Win,NO,Win
287,9,36,144,9/7/13,Extra,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Lose,24,99,090-099,1,7,Cup Lose,NO,Lose
288,9,36,144,9/7/13,Extra,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,30,112,110-119,3,9,Cup Win,NO,Win
289,10,37,145,9/7/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Lose,24,94,090-099,2,7,Points Lose,NO,Lose
290,10,37,145,9/7/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Win,36,106,100-109,2,9,Points Win,NO,Win
291,10,37,146,9/7/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,6,Lose,Lose,24,94,090-099,2,7,Points Lose,NO,Lose
292,10,37,146,9/7/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,9,Win,Win,36,106,100-109,2,9,Points Win,NO,Win
293,10,37,147,9/7/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Lose,24,94,090-099,2,7,Points Lose,NO,Lose
294,10,37,147,9/7/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Win,36,106,100-109,2,9,Points Win,NO,Win
295,10,37,148,9/7/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Lose,24,94,090-099,2,7,Points Lose,NO,Lose
296,10,37,148,9/7/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Win,36,106,100-109,2,9,Points Win,NO,Win
297,10,38,149,9/7/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,22,94,090-099,2,7,Points Lose,NO,Lose
298,10,38,149,9/7/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,21,106,100-109,2,9,Points Win,NO,Win
299,10,38,150,9/7/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,3,Win,Win,22,94,090-099,2,7,Points Lose,YES,Lose
300,10,38,150,9/7/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,0,Lose,Lose,21,106,100-109,2,9,Points Win,YES,Win
301,10,38,151,9/7/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,1,Lose,Win,22,94,090-099,2,7,Points Lose,NO,Lose
302,10,38,151,9/7/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Lose,21,106,100-109,2,9,Points Win,NO,Win
303,10,38,152,9/7/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,22,94,090-099,2,7,Points Lose,NO,Lose
304,10,38,152,9/7/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,21,106,100-109,2,9,Points Win,NO,Win
305,10,39,153,9/7/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Lose,15,94,090-099,2,7,Points Lose,NO,Lose
306,10,39,153,9/7/13,150cc,3 Star Cup,9 Wario Stadium,Peter,3,Lose,Win,22,106,100-109,2,9,Points Win,NO,Win
307,10,39,154,9/7/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Lose,15,94,090-099,2,7,Points Lose,NO,Lose
308,10,39,154,9/7/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Win,22,106,100-109,2,9,Points Win,NO,Win
309,10,39,155,9/7/13,150cc,3 Star Cup,11 Royal Raceway,Mario,0,Lose,Lose,15,94,090-099,2,7,Points Lose,NO,Lose
310,10,39,155,9/7/13,150cc,3 Star Cup,11 Royal Raceway,Peter,9,Win,Win,22,106,100-109,2,9,Points Win,NO,Win
311,10,39,156,9/7/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,0,Lose,Lose,15,94,090-099,2,7,Points Lose,YES,Lose
312,10,39,156,9/7/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,1,Win,Win,22,106,100-109,2,9,Points Win,YES,Win
313,10,40,157,9/7/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,33,94,090-099,2,7,Points Lose,NO,Lose
314,10,40,157,9/7/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,27,106,100-109,2,9,Points Win,NO,Win
315,10,40,158,9/7/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,33,94,090-099,2,7,Points Lose,NO,Lose
316,10,40,158,9/7/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,27,106,100-109,2,9,Points Win,NO,Win
317,10,40,159,9/7/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,6,Lose,Win,33,94,090-099,2,7,Points Lose,NO,Lose
318,10,40,159,9/7/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Lose,27,106,100-109,2,9,Points Win,NO,Win
319,10,40,160,9/7/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Win,33,94,090-099,2,7,Points Lose,NO,Lose
320,10,40,160,9/7/13,150cc,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Lose,27,106,100-109,2,9,Points Win,NO,Win
321,11,41,161,9/13/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,108,100-109,1,9,Cup Lose,NO,Lose
322,11,41,161,9/13/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,21,105,100-109,2,7,Cup Win,NO,Win
323,11,41,162,9/13/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,108,100-109,1,9,Cup Lose,NO,Lose
324,11,41,162,9/13/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,3,Lose,Lose,21,105,100-109,2,7,Cup Win,NO,Win
325,11,41,163,9/13/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Win,33,108,100-109,1,9,Cup Lose,NO,Lose
326,11,41,163,9/13/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Lose,21,105,100-109,2,7,Cup Win,NO,Win
327,11,41,164,9/13/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Win,33,108,100-109,1,9,Cup Lose,NO,Lose
328,11,41,164,9/13/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,3,Lose,Lose,21,105,100-109,2,7,Cup Win,NO,Win
329,11,42,165,9/13/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,0,Lose,Lose,24,108,100-109,1,9,Cup Lose,NO,Lose
330,11,42,165,9/13/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,30,105,100-109,2,7,Cup Win,NO,Win
331,11,42,166,9/13/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Lose,24,108,100-109,1,9,Cup Lose,NO,Lose
332,11,42,166,9/13/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Win,30,105,100-109,2,7,Cup Win,NO,Win
333,11,42,167,9/13/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Lose,24,108,100-109,1,9,Cup Lose,NO,Lose
334,11,42,167,9/13/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,6,Lose,Win,30,105,100-109,2,7,Cup Win,NO,Win
335,11,42,168,9/13/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,6,Lose,Lose,24,108,100-109,1,9,Cup Lose,NO,Lose
336,11,42,168,9/13/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,9,Win,Win,30,105,100-109,2,7,Cup Win,NO,Win
337,11,43,169,9/13/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Lose,21,108,100-109,1,9,Cup Lose,NO,Lose
338,11,43,169,9/13/13,Extra,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Win,24,105,100-109,2,7,Cup Win,NO,Win
339,11,43,170,9/13/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Lose,21,108,100-109,1,9,Cup Lose,NO,Lose
340,11,43,170,9/13/13,Extra,3 Star Cup,10 Sherbert Land,Peter,0,Lose,Win,24,105,100-109,2,7,Cup Win,NO,Win
341,11,43,171,9/13/13,Extra,3 Star Cup,11 Royal Raceway,Mario,0,Lose,Lose,21,108,100-109,1,9,Cup Lose,NO,Lose
342,11,43,171,9/13/13,Extra,3 Star Cup,11 Royal Raceway,Peter,9,Win,Win,24,105,100-109,2,7,Cup Win,NO,Win
343,11,43,172,9/13/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,3,Lose,Lose,21,108,100-109,1,9,Cup Lose,NO,Lose
344,11,43,172,9/13/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Win,24,105,100-109,2,7,Cup Win,NO,Win
345,11,44,173,9/13/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Tie,30,108,100-109,1,9,Cup Lose,NO,Lose
346,11,44,173,9/13/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Tie,30,105,100-109,2,7,Cup Win,NO,Win
347,11,44,174,9/13/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Tie,30,108,100-109,1,9,Cup Lose,NO,Lose
348,11,44,174,9/13/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Tie,30,105,100-109,2,7,Cup Win,NO,Win
349,11,44,175,9/13/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,6,Lose,Tie,30,108,100-109,1,9,Cup Lose,NO,Lose
350,11,44,175,9/13/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Tie,30,105,100-109,2,7,Cup Win,NO,Win
351,11,44,176,9/13/13,Extra,4 Special Cup,16 Rainbow Road,Mario,6,Lose,Tie,30,108,100-109,1,9,Cup Lose,NO,Lose
352,11,44,176,9/13/13,Extra,4 Special Cup,16 Rainbow Road,Peter,9,Win,Tie,30,105,100-109,2,7,Cup Win,NO,Win
353,12,45,177,9/13/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,96,090-099,2,8,Points Lose,NO,Lose
354,12,45,177,9/13/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,27,114,110-119,2,8,Points Win,NO,Win
355,12,45,178,9/13/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,96,090-099,2,8,Points Lose,NO,Lose
