Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
91,3,12,46,8/30/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,21,114,110-119,2,8,Cup Win,NO,Win
92,3,12,46,8/30/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,36,112,110-119,1,8,Cup Lose,NO,Lose
93,3,12,47,8/30/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,6,Lose,Lose,21,114,110-119,2,8,Cup Win,NO,Win
94,3,12,47,8/30/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,36,112,110-119,1,8,Cup Lose,NO,Lose
95,3,12,48,8/30/13,150cc,4 Special Cup,16 Rainbow Road,Mario,3,Lose,Lose,21,114,110-119,2,8,Cup Win,NO,Win
96,3,12,48,8/30/13,150cc,4 Special Cup,16 Rainbow Road,Peter,9,Win,Win,36,112,110-119,1,8,Cup Lose,NO,Lose
97,4,13,49,8/30/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,109,100-109,2,9,Points Win,NO,Win
98,4,13,49,8/30/13,150cc,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,24,105,100-109,2,7,Points Lose,NO,Lose
99,4,13,50,8/30/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,109,100-109,2,9,Points Win,NO,Win
100,4,13,50,8/30/13,150cc,1 Mushroom Cup,2 Moo Moo Farm,Peter,3,Lose,Lose,24,105,100-109,2,7,Points Lose,NO,Lose
101,4,13,51,8/30/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Win,33,109,100-109,2,9,Points Win,NO,Win
102,4,13,51,8/30/13,150cc,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Lose,24,105,100-109,2,7,Points Lose,NO,Lose
103,4,13,52,8/30/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Win,33,109,100-109,2,9,Points Win,NO,Win
104,4,13,52,8/30/13,150cc,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Lose,24,105,100-109,2,7,Points Lose,NO,Lose
105,4,14,53,8/30/13,150cc,2 Flower Cup,5 Toad's Turnpike,Mario,3,Lose,Lose,27,109,100-109,2,9,Points Win,NO,Win
106,4,14,53,8/30/13,150cc,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,30,105,100-109,2,7,Points Lose,NO,Lose
